items_address,items_city,items_lat,items_lng,items_state,items_title,items_zip,items_dist,items_traveltime
"AIIMS Campus Rd, AIIMS Campus, Saket Nagar, Habib Ganj, 462026 Bhopal, Madhya Pradesh , India",Bhopal,23.207355,77.457809,Madhya Pradesh ," All India Institute of Medical Sciences (AIIMS), Bhopal",462026,0,0
"9th Floor, ASHA Building, IDA Scudder Road, 632004 Vellore, Tamil Nadu, India",Vellore,12.924607,79.132622,Tamil Nadu," Christian Medical College, Vellore",632004,0,0
" Type III, President's Estate, 110001 New Delhi, Delhi, India",New Delhi,28.625759000000002,77.198448,Delhi," Ram Manohar Lohia Hospital, New Delhi",110001,0,0
" 3, High Ground Rd, Palayamkottai, 627011 Tirunelveli, Tamil Nadu, India",Tirunelveli,8.711757,77.748627,Tamil Nadu," Tirunelveli Medical College, Tirunelveli",627011,0,0
" CTS No 809, F.P. 147, Nayantara Building, 411004 Pune, Maharashtra, India",Pune,18.518810000000002,73.82871999999999,Maharashtra,"A.G Diagnostics Pvt Ltd,  Pune",411004,0,0
"Great Eastern Rd, AIIMS Campus, Tatibandh, 492099 Raipur, Chhattisgarh , India",Raipur,21.2568,81.579193,Chhattisgarh ,"All India Institute of Medical Science (AIIMS), Raipur",492099,0,0
"near Aiims hospital, Sijua, Patrapada, , 751019 Bhubaneswar, , Odisha , India","Bhubaneswar, ",20.231129,85.77510799999999,Odisha ,"All India Institute of Medical Sciences (AIIMS), Bhubaneswar",751019,0,0
"Basni Industrial Area, MIA 2nd Phase, Basni, , 342005 Jodhpur, Rajasthan, India",Jodhpur,26.240667,73.004997,Rajasthan,"All India Institute of Medical Sciences (AIIMS), Jodhpur",342005,0,0
"Sri Aurobindo Marg, Ansari Nagar, Ansari Nagar East, , 110029 New Delhi,, Delhi , India","New Delhi,",28.567045,77.20989200000001,Delhi ,"All India Institute of Medical Sciences (AIIMS), New Delhi",110029,0,0
"Virbhadra Road Shivaji Nagar, near Barrage, Sturida Colony , 249203 Rishikesh,  Uttarakhand, India",Rishikesh,30.078964000000003,78.28388199999999, Uttarakhand,"All India Institute of Medical Sciences (AIIMS), Rishikesh",249203,0,0
"Kanchi Gachibowli Rd, Nallagandla, Serilingampally, 500019 Hyderabad, Telangana , India",Hyderabad,17.4706,78.311401,Telangana ,"AMERICAN Institute of Pathology and Laboratory Sciences Private Limited, Hyderabad",500019,0,0
"58, Canal Circular Road, 700054 Kolkata, West Bengal, India",Kolkata,22.574793,88.384064,West Bengal,"Apollo Gleneagles Hospitals, Kolkata",700054,0,0
"NOS, 140/A, 140/B, 140/C, 141/A, 141/B, 141/C, Thokatta Village, 500011 Secunderabad, Telangana, India",Secunderabad,17.469124,78.48214,Telangana,"Apollo Health and Lifestyle Limited-Secunderabad, Diagnostics Laboratory, Hyderabad",500011,0,0
" 21 Greams Lane, Off Greams Road,, 600006 Chennai, Tamil Nadu, India",Chennai,13.046235000000001,80.150368,Tamil Nadu,"Apollo Hospitals Enterprise Limited, Chennai",600006,0,0
" Southern Command, Solapur Road, Wanowrie, near Race Course, 411040 Pune, Maharashtra, India",Pune,18.504044,73.887901,Maharashtra,"Armed Forces Medical College, Pune",411040,0,0
"Subroto Park,, 110010 New Delhi, Delhi, India",New Delhi,28.583654,77.15567800000001,Delhi,"Army Hospital Research & Referral, New Delhi",110010,0,0
"Fort, Krishna Rajendra Rd, , 560002 Bengaluru, , Karnataka , India","Bengaluru, ",12.959349000000001,77.574692,Karnataka ,"Bangalore Medical College & Research Institute, Bangaluru",560002,0,0
"B j medical college, 380016 Asarwa, Gujarat , India",Asarwa,23.052471,72.602859,Gujarat ,"BJ Medical College, Ahmedabad ",380016,0,0
"Jai Prakash Narayan Road, Railway Station Rd, 411001 Pune, Maharashtra, India",Pune,18.526237,73.868935,Maharashtra,"BJ Medical College, Pune",411001,0,0
"Ganaur - Gohana Rd, 131305 Khanpur Kalan, Haryana , India",Khanpur Kalan,29.151688,76.808228,Haryana ,"BPS Government Medical College for Women, Sonipat",131305,0,0
", 560018 Bengaluru, Karnataka, India",Bengaluru,12.957604,77.564575,Karnataka,"Cancyte Technologies Private Limited, Bengaluru",560018,0,0
"Tejaswini Hills, Periye (PO), 671316 Kasaragod, Kerala, India",Kasaragod,12.393007,75.091675,Kerala,"Central University of Kerala, Kasaragod",671316,0,0
"Molecular Laboratory, Third Floor,City Imaging Building, 4B/18, Tilak Nagar, 110018 New Delhi, Delhi, India",New Delhi,28.639034000000002,77.101349,Delhi,"City x-Ray & Scan Clinic Pvt. Ltd., New Delhi ",110018,0,0
"1 A, SF No 498, Avinashi Rd, 641018 Peelamedu, Tamil Nadu, India",Peelamedu,11.028704,77.02170600000001,Tamil Nadu,"Coimbatore Medical College, Coimbatore",641018,0,0
"Cambridge Rd, Cambridge Layout, 560007 Bengaluru, Karnataka, India",Bengaluru,12.964655,77.625938,Karnataka,"Command Hospital (Air Force), Bengaluru",560007,0,0
"Lucknow, 226002 Lucknow, Uttar Pradesh, India",Lucknow,26.817455,80.938622,Uttar Pradesh,"Command Hospital, Lucknow",226002,0,0
"406, Udyog Vihar III, Sector 20, 122016 Gurugram, Haryana, India",Gurugram,28.509289000000003,77.089455,Haryana,"CORE Diagnostics Pvt Ltd, Gurugram",122016,0,0
"DMCH Rd, Allalpatti, Laheriasarai, 846003 Darbhanga, Bihar, India",Darbhanga,26.133432,85.89924599999999,Bihar,"Darbhanga Medical College, Darbhanga",846003,0,0
"DDRC SRL TOWER,G-131, Panampilly Nagar, 682036 Ernakulam, Kerala , India",Ernakulam,9.963544,76.295296,Kerala ,"DDRC SRL Diagnostics Pvt Ltd, Ernakulam",682036,0,0
"Jhansi Road, 474002 Gwalior, Madhya Pradesh, India",Gwalior,26.221937,78.177666,Madhya Pradesh,"Defence Research & Development Establishment (DRDE), Gwalior",474002,0,0
"14, MAR(E-W), DH Block(Newtown), Action Area I, Newtown, 700160 Kolkata, West Bengal, India",Kolkata,22.577131,88.479652,West Bengal,"Department of Laboratory Sciences, Tata Medical Center, Kolkata",700160,0,0
"plot no 251, Sainik School Rd, Unit 15, Gajapati Nagar, 751005 Bhubaneswar, Odisha , India",Bhubaneswar,20.30575,85.831734,Odisha ,"Department of Laboratory Services Apollo Hospitals, Bhubaneswar",751005,0,0
"B7 Rd, Block E, Sector 18, 110085 Rohini, New Delhi, Delhi, India","Rohini, New Delhi",28.738857,77.13421600000001,Delhi,"Dr Lal PathLabs, National Reference laboratory",110085,0,0
"7-B Astley Hall, 248001 Dehradun, Uttarakhand, India",Dehradun,30.326824,78.047012,Uttarakhand,"Dr. Ahuja’s Pathlogy and Imaging Centre-Department of Laboratory Medicine, Dehradun",248001,0,0
"C2/1 SDA AURBINDO MARG, 110016 New Delhi, Delhi, India",New Delhi,28.550137,77.201256,Delhi,"Dr. Dang’s Lab, New Delhi",110016,0,0
"Titus Plaza, 1st Floor, Sharma Commercial Complex, 500082 Hyderabad, Telangana, India",Hyderabad,17.424494,78.450851,Telangana,"DR. REMEDIES LABS PRIVATE LIMITED, Hyderabad",500082,0,0
"Residency Road, Near Sriram Excellency Hotel, Sector-D, Shastri Nagar, opposite Petrol Pump, 342003 Jodhpur, Rajasthan , India",Jodhpur,26.269421,73.005219,Rajasthan ,"Dr. Sampurnanand Medical College, Jodhpur",342003,0,0
"Barpeta-Hospital-Jania Rd, Joti Gaon, 781301 Barpeta, Assam, India",Barpeta,26.324447999999997,90.984985,Assam,"Fakhruddin Medical College, Barpeta",781301,0,0
" Sultania Rd, near Hamidia Hospital, Royal Market, 462001 Bhopal, Madhya Pradesh, India",Bhopal,23.259929999999997,77.388763,Madhya Pradesh,"Gandhi Medical College, Bhopal",462001,0,0
" Musheerabad, Padmarao Nagar, 500003 Secunderabad, Telangana, India",Secunderabad,17.424665,78.502197,Telangana,"Gandhi Medical College, Secunderabad",500003,0,0
"Narakasur Hilltop, Bhangagarh, 781032 Guwahati, Assam , India",Guwahati,26.154239999999998,91.770081,Assam ,"Gauhati Medical College, Guwahati ",781032,0,0
"Bambolim, 403202 Tiswadi, Goa, India",Tiswadi,15.464310999999999,73.858414,Goa,"Goa Medical College and Hospital, Bambolim",403202,0,0
"Periyamilaguparai, Colletor's office Road, 620001 Trichy, Tamil Nadu, India",Trichy,10.798005,78.676613,Tamil Nadu,Government Medical College,620001,0,0
"Chandi Path, Sector 32B, 32B, Sector 32, 160047 Chandigarh, Chandigarh, India",Chandigarh,30.708832,76.778297,Chandigarh,"Government Medical College & Hospital, Chandigarh",160047,0,0
"Pandharpur Rd, Maji Sainik Vasahat,  , 416410 Miraj, , Maharashtra, India","Miraj, ",16.837025,74.64520999999999,Maharashtra,"Government Medical College And Hospital, Miraj",416410,0,0
"79 Tilla, 799006 Agartala, Tripura, India",Agartala,23.831310000000002,91.261597,Tripura,"Government Medical College, Agartala",799006,0,0
"Rahamat Nagar, 515001 Anantapur, Andhra Pradesh , India",Anantapur,14.6712,77.592903,Andhra Pradesh ,"Government Medical College, Anantapur",515001,0,0
"Near State Road Transport Corporation Bus Stand, , 364001 Bhavnagar, Gujarat, India",Bhavnagar,21.768614000000003,72.13700899999999,Gujarat,"Government Medical College, Bhavnagar Gujarat",364001,0,0
"Rampur Rd, Rampur, 263129 Haldwani, Uttarakhand , India",Haldwani,29.206326,79.518745,Uttarakhand ,"Government Medical College, Haldwani",263129,0,0
"17 Medical College Road Medical College Junction, , 673008 Near Police Station, Kozhikode,,  Kerala , India","Near Police Station, Kozhikode,",11.27228,75.83719599999999, Kerala ,"Government Medical College, Kozhikode ",673008,0,0
"Sangrur Rd, New Lal Bagh Colony,, 147001  Patiala,  Punjab, India", Patiala,30.328062,76.382942, Punjab,"Government Medical College, Patiala",147001,0,0
"Sadar Civil Hospital Campus, , 360001  Rajkot, Gujarat , India", Rajkot,22.305006,70.798424,Gujarat ,"Government Medical College, Rajkot, Gujarat",360001,0,0
"Opp Income Tax Department Office, Majura Gate, 395001 Surat, Gujarat , India",Surat,21.178091000000002,72.82024399999999,Gujarat ,"Government Medical College, Surat",395001,0,0
" Collector Office Road, 610004 Thiruvarur, Tamil Nadu, India",Thiruvarur,10.776112,79.602654,Tamil Nadu,"Government Medical College, Thiruvarur",610004,0,0
"M. G. Kavu, , 680596 Thrissur, , Kerala , India","Thrissur, ",10.614175999999999,76.19560200000001,Kerala ,"Government Medical College, Thrissur",680596,0,0
"Ulloor - Akkulam Rd, near SAT hospital Medical College Junction, ,  695011  Chalakkuzhi, Thiruvananthapuram,,  Kerala, India"," Chalakkuzhi, Thiruvananthapuram,",8.524302,76.924255, Kerala,"Government Medical College, Trivandrum", 695011,0,0
"Vinoba Bhave Rd, Anandpura, 390001 Vadodara, Gujarat , India",Vadodara,22.304007000000002,73.19180300000001,Gujarat ,"Government Medical College, Vadodara",390001,0,0
"Govt. Theni Medical College, 625531 Theni, Tamil Nadu, India",Theni,10.006198,77.551498,Tamil Nadu,"Government Theni  Medical College, Theni",625531,0,0
"GST Road, 605601 Villupuram, Tamil Nadu, India",Villupuram,11.994311,79.51301600000001,Tamil Nadu,"Government Villupuram Medical College, Villupuram",605601,0,0
"University Road, Jubilee Park, 431004  Aurangabad, Maharashtra , India", Aurangabad,19.889298999999998,75.318611,Maharashtra ,Govt Medical College & Hospital Aurangabad,431004,0,0
"Rangbari Rd, Sector - A, 324010 Kota, Rajasthan, India",Kota,25.123581,75.827454,Rajasthan,"Govt. Medical College, Kota",324010,0,0
"J J Marg, Nagpada-Mumbai Central, J J Marg, Nagpada-Mumbai Central, Noor Baug, Mazgaon, , 400008 Mumbai, , Maharashtra , India","Mumbai, ",18.963520000000003,72.833588,Maharashtra ,"Grant Medical College & Sir JJ Hospital, Mumbai",400008,0,0
"Sedam Rd,Veeresh Nagar Cross, behind MRMC, , 585101 Gulbarga, , Karnataka , India","Gulbarga, ",17.328522,76.839897,Karnataka ,"Gulbarga Institute Of Medical Sciences, Gulbarga",585101,0,0
"Acharya Donde Marg, Parel, 400012 Mumbai, Maharashtra, India",Mumbai,19.002079000000002,72.843765,Maharashtra,"Haffkine Institute, Mumbai",400012,0,0
"Shri panchamukhi medicals and clinic, opp. govt high school, , 573201 Hassan, , Karnataka , India","Hassan, ",13.00489,76.102692,Karnataka ,"Hassan Institute of Medical Sciences, Hassan",573201,0,0
"Baba Raghav Das (BRD) Medical College Campus, 273013 Gorakhpur, Uttar Pradesh, India",Gorakhpur,26.812803000000002,83.398865,Uttar Pradesh,"ICMR- Regional Medical Research Centre, Gorakhpur",273013,0,0
"Off Marol Military Road, 400072  Andheri East, Maharashtra, India", Andheri East,19.110266,72.884895,Maharashtra,"iGenetic Diagnostics Pvt. Ltd., Mumbai",400072,0,0
"Mayo Hospital, Central Ave, Mominpura, , 440018 Nagpur, Maharashtra , India",Nagpur,21.153418,79.091782,Maharashtra ,Indira Gandhi Government Medical College & Hospital,440018,0,0
"Allahabad bank, Bailey Rd, 800014 Sheikhpura, Patna, Bihar, India","Sheikhpura, Patna",25.610615,85.088951,Bihar,"Indira Gandhi Institute of Medical Sciences, Patna",800014,0,0
"Ridge Sanjauli Rd, Lakkar Bazar, , 171001 Shimla, , Himachal Pradesh , India","Shimla, ",31.106512,77.18225100000001,Himachal Pradesh ,"Indira Gandhi Medical College, Shimla",171001,0,0
"Road Number 23, Wagle Industrial Estate, 400604 Thane, Maharashtra, India",Thane,19.195042,72.946365,Maharashtra,"InfeXn Laboratories Private Ltd, Thane",400604,0,0
" D1 ILBS Road, Vasant Kunj,, 110070 New Delhi, Delhi, India",New Delhi,28.506643,77.163948,Delhi,"Institute of Liver and Biliary Sciences, New Delhi",110070,0,0
"Aurobindo Colony, Banaras Hindu University Campus, ,  221005 Varanasi,, Uttar Pradesh, India","Varanasi,",25.274498,82.999542,Uttar Pradesh,Institute of Medical Sciences BHU, 221005,0,0
"244, Acharya Jagadish Chandra Bose Rd, Bhowanipore, 700020  Kolkata,  West Bengal , India", Kolkata,22.53969,88.34221600000001, West Bengal ,"Institute of Post Graduate Medical Education & Research (IPGMER), Kolkata",700020,0,0
"Narayanaguda, 500029 Hyderabad, Telangana, India",Hyderabad,17.394382,78.49205,Telangana,"Institute Of Preventive Medicine, Hyderabad",500029,0,0
"Thalappady, , 686019 Thalappady, , Kerala , India","Thalappady, ",9.57547,76.578987,Kerala ,"Interuniversity, kottayam",686019,0,0
"Jipmer Campus Rd, Gorimedu, Dhanvantari Nagar, ,  605006 Puducherry,, Puducherry,, India","Puducherry,",11.950302,79.797508,"Puducherry,","Jawaharlal Institute of Postgraduate Medical Education & Research, Puducherry", 605006,0,0
"Porompat, , 795004 Imphal, ,  Manipur, India","Imphal, ",24.809977,93.96096, Manipur,"Jawaharlal Nehru Institute of Medical Sciences, Imphal-East, Manipur",795004,0,0
"Medical Rd, AMU Campus, 202002 Aligarh, Uttar Pradesh , India",Aligarh,27.916860999999997,78.087112,Uttar Pradesh ,"Jawaharlal Nehru Medical College, Aligarh",202002,0,0
"N.H.-12, Kota Rd, Jhalawar, , 326001 Jhalawar,, Rajasthan , India","Jhalawar,",24.58556,76.158852,Rajasthan ,"Jhalawar Medical College, Jhalawar, Rajasthan",326001,0,0
" Kala Bagh, 305001 Ajmer, Rajasthan, India",Ajmer,26.467302,74.634148,Rajasthan,"JLN Medical College, Ajmer",305001,0,0
"Kushal Konwar Path, Barbheta, 785001 Jorhat, Assam, India",Jorhat,26.742579,94.19483199999999,Assam,"Jorhat Medical College, Jorhat",785001,0,0
" Sane Guruji Marg, Arya Nagar, Chinchpokli, 400034 Mumbai, Maharashtra, India",Mumbai,18.984041,72.827652,Maharashtra,"Kasturba Hospital for Infectious Diseases, Mumbai",400034,0,0
"Shah Mina Rd, Chowk, 226003 Lucknow,  Uttar Pradesh, India",Lucknow,26.868741999999997,80.916214, Uttar Pradesh,"King George's Medical University, Lucknow",226003,0,0
"Guindy, 600032 Chennai, Tamil Nadu, India",Chennai,13.012446,80.215416,Tamil Nadu,"King Institute of Preventive Medicine and Research, Guindy, Chennai, Tamil Nadu",600032,0,0
"Andheri West, 400053 Mumbai, Maharashtra, India",Mumbai,19.13126,72.822868,Maharashtra,"Kokilaben Dhirubhai Ambani Hospital Laboratory, Mumbai",400053,0,0
